feature,importance
Age,0.1771219000720082
NumOfProducts,0.09252171470876627
Wealth_Index,0.08755324172870974
CreditScore,0.07723537821365462
Age_Tenure,0.0763180115752102
EstimatedSalary,0.07569744540027291
Account_Utilization,0.06560859274962012
Balance,0.06187116100332954
Balance_to_Salary,0.05445416546153893
Product_Density,0.043162624969554794
Product_Engagement,0.04022925998331633
Tenure,0.033416604591914215
Geography_Germany,0.02637130204028341
Credit_Category,0.023374165780175617
IsActiveMember,0.02194289685270723
Gender_Male,0.015301654797810326
HasCrCard,0.012936129549022658
Geography_Spain,0.011109203351583136
High_Value,0.003774547170521906
Year,0.0
